2016-05-25 15:22:02 [main] INFO  ClassPathXmlApplicationContext:513 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2909a1: startup date [Wed May 25 15:22:02 CST 2016]; root of context hierarchy
2016-05-25 15:22:03 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-actions.xml]
2016-05-25 15:22:04 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-dao.xml]
2016-05-25 15:22:04 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-public.xml]
2016-05-25 15:22:04 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-service.xml]
2016-05-25 15:22:05 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\db.properties]
2016-05-25 15:22:05 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\filepath.properties]
2016-05-25 15:22:05 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\log4j.properties]
2016-05-25 15:22:05 [main] INFO  MLog:92 - MLog clients using log4j logging.
2016-05-25 15:22:05 [main] INFO  C3P0Registry:216 - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
2016-05-25 15:22:09 [main] INFO  AbstractPoolBackedDataSource:522 - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hgf2m99g1s1bcx65kgd2w|f1cdeb, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hgf2m99g1s1bcx65kgd2w|f1cdeb, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/myshop, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2016-05-25 15:22:17 [net.sf.ehcache.CacheManager@10cdbb3] INFO  UpdateChecker:98 - New update(s) found: 2.4.7 [http://www.terracotta.org/confluence/display/release/Release+Notes+Ehcache+Core+2.4]. Please check http://ehcache.org for the latest version.
2016-05-25 15:22:19 [main] INFO  HibernateTransactionManager:341 - Using DataSource [com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hgf2m99g1s1bcx65kgd2w|f1cdeb, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hgf2m99g1s1bcx65kgd2w|f1cdeb, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/myshop, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]] of Hibernate SessionFactory for HibernateTransactionManager
2016-05-25 15:34:27 [main] INFO  ClassPathXmlApplicationContext:513 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@b69969: startup date [Wed May 25 15:34:27 CST 2016]; root of context hierarchy
2016-05-25 15:34:27 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-actions.xml]
2016-05-25 15:34:27 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-dao.xml]
2016-05-25 15:34:28 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-public.xml]
2016-05-25 15:34:28 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-service.xml]
2016-05-25 15:34:28 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\db.properties]
2016-05-25 15:34:28 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\filepath.properties]
2016-05-25 15:34:28 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\log4j.properties]
2016-05-25 15:34:28 [main] INFO  MLog:92 - MLog clients using log4j logging.
2016-05-25 15:34:28 [main] INFO  C3P0Registry:216 - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
2016-05-25 15:34:29 [main] INFO  AbstractPoolBackedDataSource:522 - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hgf2m99g1s1raed10yswoa|1a1a614, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hgf2m99g1s1raed10yswoa|1a1a614, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/myshop, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2016-05-25 15:34:31 [main] INFO  HibernateTransactionManager:341 - Using DataSource [com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hgf2m99g1s1raed10yswoa|1a1a614, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hgf2m99g1s1raed10yswoa|1a1a614, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/myshop, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]] of Hibernate SessionFactory for HibernateTransactionManager
2016-05-25 16:39:09 [main] INFO  ClassPathXmlApplicationContext:513 - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@b69969: startup date [Wed May 25 16:39:09 CST 2016]; root of context hierarchy
2016-05-25 16:39:10 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-actions.xml]
2016-05-25 16:39:10 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-dao.xml]
2016-05-25 16:39:10 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-public.xml]
2016-05-25 16:39:10 [main] INFO  XmlBeanDefinitionReader:316 - Loading XML bean definitions from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\applicationContext-service.xml]
2016-05-25 16:39:10 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\db.properties]
2016-05-25 16:39:10 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\filepath.properties]
2016-05-25 16:39:10 [main] INFO  PropertySourcesPlaceholderConfigurer:172 - Loading properties file from file [F:\eclipse4.5.1\workspace\j2ee\myshop\build\classes\log4j.properties]
2016-05-25 16:39:10 [main] INFO  MLog:92 - MLog clients using log4j logging.
2016-05-25 16:39:10 [main] INFO  C3P0Registry:216 - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
